PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
83.64,118.52,15.67,0.84,16.5,50.47,166,Moderate
72.34,103.82,13.46,0.71,17.81,56.41,162,Moderate
72.99,104.91,13.46,0.69,11.56,57.63,147,Moderate
76.56,115.06,14.77,0.82,14.21,56.77,138,Moderate
84.51,120.22,13.16,0.95,17.69,54,194,Moderate
50.52,81.46,14.79,0.59,13.86,32.95,114,Moderate
41.79,73.58,17.65,0.63,14.1,29.21,77,Satisfactory
57.09,88.15,15.8,0.78,9.56,35.44,79,Satisfactory
74.45,110.95,12.5,0.75,19.09,59.61,133,Moderate
59.42,90.44,12.73,0.92,20.55,63.08,131,Moderate
49.5,80.8,12.64,0.64,17.14,64.8,87,Satisfactory
59.64,88.85,12.12,0.77,17.53,57.26,96,Satisfactory
42.46,65.39,12.17,0.73,17.09,55.17,82,Satisfactory
39.07,62.93,13.53,0.69,22.14,43.7,76,Satisfactory
22.79,38.35,18.79,0.64,19.87,23.59,47,Good
37.81,56.66,12.98,0.63,14.68,36.53,55,Satisfactory
38.82,61.4,11.64,0.65,18.74,48.53,66,Satisfactory
69.49,97.7,12.04,0.68,17.89,59.37,109,Moderate
53.32,75.4,11.47,0.64,15.37,53.9,103,Moderate
37.23,62.09,13.23,0.53,13.54,46.31,78,Satisfactory
51.22,84.62,21.49,0.67,20.19,36.26,70,Satisfactory
66.57,100.98,16.47,0.76,18.45,37.24,110,Moderate
78.28,109.42,16.82,0.8,24.75,47.01,147,Moderate
85.67,121.55,20.64,0.95,32.97,47.84,177,Moderate
82.66,111.92,14,0.85,17.11,56.49,168,Moderate
68.4,90.93,11.06,0.76,18.33,48.09,163,Moderate
56.44,75.95,10.33,0.64,9.86,47.51,108,Moderate
45.81,66.69,11.52,0.66,15.86,44.3,82,Satisfactory
31.59,51.42,8.68,0.6,12.33,35.43,60,Satisfactory
36.62,58.14,10.43,0.69,16.57,35.86,58,Satisfactory
31.22,57.33,16.9,0.63,14.64,33.25,62,Satisfactory
29.88,55.3,15.62,0.63,14.09,35.92,63,Satisfactory
37.56,65.26,14.76,0.65,14.71,41.22,63,Satisfactory
59.33,93.3,17.94,0.75,18.29,40.9,87,Satisfactory
61.4,96.6,15.34,0.73,23.54,43.29,101,Moderate
51.18,76.33,11.66,0.64,18.69,46.21,98,Satisfactory
38.39,63.99,15.39,0.61,20,36.83,77,Satisfactory
34.56,62.65,16.51,0.57,19.73,44.57,74,Satisfactory
33.62,60.66,14.78,0.52,20.29,36.88,65,Satisfactory
29.98,51.68,9.21,0.52,12.76,32.35,59,Satisfactory
32.18,60.01,13.11,0.55,15.43,36.9,59,Satisfactory
26.72,53.9,15.53,0.49,19.06,32.28,66,Satisfactory
21.22,43.36,12.12,0.45,18.25,31.33,52,Satisfactory
19.94,42.27,10.35,0.47,13.38,31.97,47,Good
24.44,47.41,12.27,0.54,15.16,30.12,48,Good
27.24,49.64,14.18,0.52,16.38,32.33,54,Satisfactory
25.74,46.38,11.44,0.52,19.32,36.58,54,Satisfactory
20.12,42.08,14.78,0.52,15.01,27.59,47,Good
16.85,37.38,9.88,0.44,18.3,36.72,44,Good
22.46,41.78,10.81,0.38,20.25,35.46,45,Good
38.73,63.42,16.17,0.62,17.41,35.62,51,Satisfactory
36.26,56.64,14.25,0.53,17.68,46.43,65,Satisfactory
45.14,73.27,13.84,0.6,18.99,53.62,70,Satisfactory
59.61,94.82,17.03,0.67,21.32,55.77,86,Satisfactory
61.24,99.2,25.9,0.64,34.59,46.13,110,Moderate
43.11,76.55,16.21,0.52,23.05,46.64,87,Satisfactory
64.53,110.64,23.25,0.78,27.95,53.69,103,Moderate
37.53,64.2,14.1,0.44,15.75,40.59,88,Satisfactory
29.12,54.82,14.06,0.44,19.12,41.62,66,Satisfactory
31.68,62.23,14.53,0.48,20.98,37.94,66,Satisfactory
40.98,69.15,14.6,0.46,18.62,39.9,65,Satisfactory
49.1,74.88,12.98,0.44,17.74,49.28,77,Satisfactory
35.92,61.83,11.83,0.47,16.2,42.11,74,Satisfactory
27.13,54.16,12.98,0.48,20.2,39.74,60,Satisfactory
34.81,62.43,14.44,0.77,13,44.47,82,Satisfactory
31.66,53.22,9.29,0.62,15.94,46.68,68,Satisfactory
24.86,47.43,10.73,0.61,16.73,39.9,53,Satisfactory
31.28,59.42,13.15,0.81,19.56,40.48,78,Satisfactory
38.85,67.95,13.49,0.86,22.27,43.97,73,Satisfactory
31.99,57.18,10.99,0.66,23.6,51.47,68,Satisfactory
35.99,59.72,10.24,0.52,18.21,51.81,65,Satisfactory
32.99,56.46,8.29,0.48,19.32,52.32,67,Satisfactory
39.84,62.14,11.69,0.56,24.7,49.09,67,Satisfactory
40.19,64.95,10.71,0.58,22.82,45.68,70,Satisfactory
35.95,59.47,12.61,0.55,17.88,38.71,66,Satisfactory
20.14,31.66,7.85,0.49,18.35,26.21,47,Good
19,31.65,5.45,0.48,17.86,29.66,36,Good
14.26,24.49,6.19,0.52,12.13,26.65,35,Good
10.28,22.95,8.15,0.49,29.5,24.62,35,Good
12.37,22.79,9.77,0.54,18.18,19.25,42,Good
10.63,22.11,7.78,0.46,25.19,24.48,35,Good
11.08,19.3,5.99,0.48,20.86,23.99,35,Good
12.73,24.73,5.62,0.49,17.37,25.1,38,Good
18.17,33.52,5.74,0.45,14.83,25.04,35,Good
23.78,44.16,8.07,0.49,21.65,27.22,48,Good
25.83,45.42,7.94,0.47,22.1,28.67,48,Good
27.28,47.52,9.42,0.57,19.49,28.25,48,Good
31.49,49.92,8.93,0.64,19.67,34.5,54,Satisfactory
19.45,36.11,9.54,0.58,16.2,31.44,48,Good
18.86,35.92,8.13,0.55,19.8,32.35,51,Satisfactory
15.23,28.92,7.4,0.49,25.54,28.78,43,Good
13.9,26.07,5.15,0.49,23.29,25.43,37,Good
25.49,42.7,4.19,0.48,23,27.87,39,Good
26.01,50.98,4.65,0.45,24.44,29.73,51,Satisfactory
17.19,39.17,4.81,0.46,20.71,28.52,47,Good
16.77,35.65,4.29,1.47,18.95,27.74,101,Moderate
23.67,44.23,4.99,0.66,18.8,29.32,108,Moderate
25.36,50.63,4.69,0.23,21.49,37.28,52,Satisfactory
25.12,52.01,4.71,0.25,22.1,43.19,61,Satisfactory
26.96,53.31,5.11,0.37,19.29,38.57,58,Satisfactory
30.36,60.36,5.2,0.37,22.14,45.51,58,Satisfactory
29.86,55.8,4.52,0.28,23.12,44.17,69,Satisfactory
34.77,63.95,5.03,0.25,25.11,40.76,69,Satisfactory
21.17,41.26,6.54,0,13.94,36.65,53,Satisfactory
13.72,31.06,4.58,0,15.56,26.1,42,Good
16.75,36.94,4.59,0,13.59,25.74,44,Good
18.38,40.46,4.91,0,14.3,27.51,47,Good
19.77,45.79,4.99,0,14.56,26.57,50,Good
18.62,45.2,4.5,0,14.12,30.13,51,Satisfactory
17.21,38.03,4.4,0,13.37,24.22,43,Good
13.28,40.72,4.83,0,12.24,25.98,40,Good
9.51,24.12,3.97,0,12.29,19.18,26,Good
26.8,50.65,6.22,0,19.3,39.46,56,Satisfactory
29.9,103.68,10.11,0.38,12.04,52.47,103,Moderate
21.15,72.04,4.87,0.52,9.79,50.76,88,Satisfactory
18.09,60.29,4.2,0.45,8.1,48,66,Satisfactory
16.93,57.4,3.63,0.47,7.48,40.43,57,Satisfactory
22.01,72.96,3.89,0.49,7.24,48.22,69,Satisfactory
24.22,66.04,4.33,0.5,7.19,24.36,69,Satisfactory
25.16,66.12,5.41,0.6,7.99,13.71,64,Satisfactory
20.96,68.44,5.69,0.6,10.85,17.45,70,Satisfactory
22.5,62.08,6.94,0.57,17.09,21.62,63,Satisfactory
19.96,58.07,5.43,0.55,9.11,21.51,62,Satisfactory
8.09,37.02,9.29,0.48,9.85,14.81,46,Good
12.78,38.24,9.72,0.51,6.61,18.39,41,Good
10.23,35.22,10.19,0.5,12.47,19.36,40,Good
7.89,34.52,11.09,0.54,16.74,18.72,39,Good
9.33,36.04,8.83,0.44,11.48,30.3,58,Satisfactory
10.14,43.39,7.06,0.42,12.83,35.22,44,Good
11.49,47.69,6.9,0.42,12.34,38.36,50,Good
12.19,49.5,10.16,0.44,11.95,38.42,54,Satisfactory
10.39,44.35,10.06,0.5,15.46,40.05,61,Satisfactory
10.18,25.24,15.4,0.59,13.75,40.65,58,Satisfactory
5.6,12.17,14.58,0.51,18.82,42.45,53,Satisfactory
4.7,12.83,10.03,0.53,13.34,34.37,47,Good
4.65,12.76,8.44,0.48,12.34,35.22,44,Good
11.71,25.81,8.06,0.53,16.01,39.34,47,Good
10.07,24.04,9.21,0.48,12.19,33.82,41,Good
11.61,31.52,16.7,0.5,16.28,31.19,39,Good
8.73,18.33,16.26,0.38,17.54,29.47,36,Good
11.2,27.86,12.95,0.62,17.81,31.9,42,Good
11.03,34.97,13.74,0.64,10.39,31.37,43,Good
16.99,45.43,9.48,0.55,11.19,41.25,55,Satisfactory
12.74,30.83,10.27,0.59,13.28,34.95,50,Good
17.97,50.49,12.1,0.65,11.68,30.15,46,Good
15.48,34.84,9.15,0.58,15.88,39.82,55,Satisfactory
14.88,35.33,10.59,0.59,14.04,38.01,52,Satisfactory
20.74,37.36,8.44,0.62,15.38,39.32,50,Good
10.41,20.55,7.21,0.53,15.86,25.96,37,Good
14.5,24.43,6.53,0.55,13.75,33.76,42,Good
16.65,28.51,8.32,0.66,10.86,37.34,49,Good
20.96,32.56,9.55,0.66,14.79,43.29,56,Satisfactory
21.34,35.16,10.69,0.66,14.58,45.32,61,Satisfactory
22,34,9.68,0.59,10.88,29.15,54,Satisfactory
12.45,13.8,8.05,0.67,16.06,11.88,52,Satisfactory
19.52,21.88,6.02,0.43,26.24,11.53,31,Good
77.71,80.27,3.88,0.36,22.35,18.68,106,Moderate
19.7,33.08,3.13,0.37,14.29,22.22,98,Satisfactory
22.91,56.19,4.13,0.47,8.42,26.62,61,Satisfactory
29.56,44.5,2.66,0.39,10.95,27.03,62,Satisfactory
46.13,62.88,4.89,0.54,30.27,26.3,78,Satisfactory
44.3,52.12,5.32,0.36,28.74,20.63,72,Satisfactory
41.23,52.75,7.88,0.39,21.4,22.44,71,Satisfactory
29.88,33.2,11.66,0.36,4.26,21.11,59,Satisfactory
37.93,43.69,15.11,0.2,6.38,25.06,73,Satisfactory
32.46,50.76,19.67,0,4.71,18.79,56,Satisfactory
25.65,54.59,26.15,0,8.32,15.64,55,Satisfactory
41.36,77.43,25.88,0,4.75,20.27,69,Satisfactory
51.88,86.64,25.21,0,7.72,30.34,80,Satisfactory
51.59,86.11,26.05,0,9.06,24.63,89,Satisfactory
45.46,82.73,26.38,0,2.94,19.36,79,Satisfactory
152.17,93.68,27.06,0,3.17,21.78,262,Poor
72.87,98.47,26.07,0,3.56,12.86,184,Moderate
73.26,97.64,25.73,0,1.85,11.77,138,Moderate
65.26,95.91,25.23,0,1.31,19.98,138,Moderate
56.39,92.68,26.26,0,2.97,19.83,100,Satisfactory
55.43,88.17,28.39,0,1.91,13.71,89,Satisfactory
40.95,77.09,26.26,0,1.03,21.21,84,Satisfactory
40.99,67.5,24.95,0,0.86,20.82,72,Satisfactory
57.49,80.09,23.95,0,2.29,24.66,90,Satisfactory
45.98,72.74,23.68,0,7.96,24.14,84,Satisfactory
47.2,78.45,27.32,0,3.29,31.95,74,Satisfactory
58.95,83.09,30.37,0,4.97,33.22,96,Satisfactory
39.4,66.81,30.1,0,2.04,33.88,76,Satisfactory
39.47,71.86,30.88,0,3.9,28.11,71,Satisfactory
52.77,72.49,31.49,0,2.11,26.72,91,Satisfactory
16.38,25.27,31.72,0,3.28,23.22,45,Good
20.11,34.76,30.57,0,4.88,25.45,30,Good
42.05,88.9,23.44,0,2.61,21,72,Satisfactory
40.64,63.97,27.46,0,2.64,16.77,76,Satisfactory
31.96,59.43,30.01,0,2.96,18.72,60,Satisfactory
24.29,39.48,37.9,0,5.14,18.12,44,Good
30.05,55.59,19.08,0,3.23,27.2,57,Satisfactory
41.4,62.53,21.1,0,5.88,22.06,66,Satisfactory
33.11,58.18,19.74,0,1.1,15.98,63,Satisfactory
50.72,70.44,23.29,0,7.12,24.73,85,Satisfactory
25.84,28.59,21.97,0,2.6,28.36,61,Satisfactory
24.3,27.21,21.26,0,3.13,31.65,49,Good
33.02,45.93,20.9,0,11.78,31.99,53,Satisfactory
53.08,101.55,20.53,0,7.66,24,82,Satisfactory
82.91,116.95,20.7,0,8.74,29.95,170,Moderate
32.08,94.3,21.29,0,12.41,25.46,109,Moderate
27.6,39.29,22.4,0,15.52,19.14,65,Satisfactory
41.54,124.19,10.76,0,9.99,31.76,97,Satisfactory
52.43,105.5,16.31,0,7.51,13.82,102,Moderate
53.42,91.16,16.67,0,11.67,14.19,100,Satisfactory
194.39,100.51,16.7,0,14.47,16.02,121,Moderate
296.84,138.35,16.92,0,15.32,15.81,117,Moderate
105.49,125.37,16.7,0,18.78,14.66,123,Moderate
868.66,116.29,16.46,0,27.92,15.99,110,Moderate
595.88,219.63,15.87,0,4.57,15.85,539,Severe
157.6,94.34,16.01,0,10.25,16.36,473,Severe
53.9,124.48,15.91,0,7.37,15.59,138,Moderate
40.51,121.36,16.19,0,16.06,15.09,116,Moderate
57.8,86.43,15.04,0,4.74,16.46,102,Moderate
41.85,72.79,15.05,0,5.38,15.39,80,Satisfactory
54.1,96.51,14.9,0,12.93,22.22,87,Satisfactory
42.41,99.64,15.07,0,7.06,16.05,93,Satisfactory
45.32,387.65,15.1,0,3.04,14.62,98,Satisfactory
26.47,68.35,14.04,0,4.25,28.62,44,Good
29.12,63.49,14.09,0,3.33,11.51,67,Satisfactory
34.99,68.71,15.07,0,6.14,4.84,62,Satisfactory
58.68,109.6,14.49,0,15.24,22.7,107,Moderate
48.49,120.47,14.2,0,9.84,20.98,108,Moderate
38.78,143.52,36.62,0,12.61,11.54,125,Moderate
89.01,240.82,13.43,0,7.22,11.92,197,Moderate
39.74,72.35,31.09,0,6.7,10.97,143,Moderate
38.25,76.8,14.02,0,3.1,12.77,64,Satisfactory
38.93,79.5,13.56,0,5.56,10.26,85,Satisfactory
44.76,91.2,13.59,0,3.03,10.9,83,Satisfactory
33.88,53.64,13.79,0,5.84,5.17,70,Satisfactory
41.62,73.06,13.84,0,6.97,5.62,65,Satisfactory
36.81,77.01,13.47,0,8.83,19.14,75,Satisfactory
38.42,82.21,13.51,0,6.29,9.51,88,Satisfactory
33.06,85.28,13.66,0,6.49,4.88,73,Satisfactory
34.62,86.44,13.5,0,5.72,5.94,97,Satisfactory
42.96,90.84,13.51,0,4.89,6.45,80,Satisfactory
40.82,99.55,13.17,0,4.86,12.85,103,Moderate
33.69,78.05,13.01,0,3.52,9.16,81,Satisfactory
32,71.88,13.01,0,3.59,17.47,76,Satisfactory
37.18,81.62,13.14,0,2.06,14.56,76,Satisfactory
39.66,92.36,12.88,0,3.7,19.71,86,Satisfactory
44.85,106.1,13.03,0,4.38,17.64,100,Satisfactory
35.19,102.85,12.95,0,5.34,14.7,104,Moderate
36.66,105.7,12.87,0,3.12,17.97,103,Moderate
41.22,93.15,12.84,0,3.57,16.13,100,Satisfactory
35.76,75.93,12.96,0,2.97,6.46,81,Satisfactory
39.06,70.49,13.12,0,2.38,5.39,74,Satisfactory
30.48,75.21,12.3,0,3.12,17.35,90,Satisfactory
45.34,68.4,23.33,0,3.87,12.36,92,Satisfactory
41.09,102.32,21.85,0,3.29,6.43,94,Satisfactory
36.95,86.58,22.57,0,3.64,9.21,91,Satisfactory
43.04,99.05,12.64,0,3.76,6.62,91,Satisfactory
46.59,112.06,12.15,0,2.67,12.2,101,Moderate
49.08,71.1,6.95,0,3.56,5.68,88,Satisfactory
49,87.67,8.56,0,4.13,6.84,89,Satisfactory
48.72,117.47,12.85,0,2.99,6.66,104,Moderate
50.33,95.06,11.72,0,4.03,8.84,87,Satisfactory
48.58,90.82,9.42,0,3.53,6.22,97,Satisfactory
46.72,97.67,10.8,0,3.9,7.82,93,Satisfactory
51.53,96.92,32.47,0,4.26,6.46,100,Satisfactory
52.08,97.63,28.82,0,4.24,10.05,96,Satisfactory
50.9,97.87,24.44,0,3.43,6.79,100,Satisfactory
49.41,101.51,25.65,0,3.47,12.17,97,Satisfactory
50.64,94.42,14.4,0,6.04,6.09,99,Satisfactory
52.14,104.81,21.54,0,3.64,6.6,99,Satisfactory
44.63,113.81,18.17,0,3.65,7.06,110,Moderate
47.5,97.7,16.88,0,4.9,7,100,Satisfactory
47.06,98.4,16.72,0,2.53,7.66,99,Satisfactory
43.23,102.03,19.68,0,2.31,8.39,101,Moderate
47.21,100.22,17.86,0,3.34,8.72,101,Moderate
48.32,103.08,20.08,0,3.96,8.18,102,Moderate
49.32,101.56,12.96,0,4.77,4.59,102,Moderate
31.41,63.19,59.44,0,4.6,21.2,158,Moderate
51.03,109.83,40,0,6.02,6.55,84,Satisfactory
43.78,107.53,37.33,0,7.11,6.55,110,Moderate
26.23,168.52,14.66,0.81,3.75,13.05,141,Moderate
38.53,268.32,14.79,0.66,5.38,8.1,177,Moderate
38.68,260.46,18.44,0.66,6.86,7.06,215,Poor
21.38,69.39,15.67,0.67,6.71,8.2,139,Moderate
36.69,114.7,14.14,0.78,7,8.14,92,Satisfactory
33.27,136.51,14.03,0.78,6.62,15.03,120,Moderate
43.31,206.85,11.98,0.8,6.04,12.63,146,Moderate
41.05,209.7,8.86,0.77,7.4,8.45,176,Moderate
28.53,139.39,8.75,0.68,7.81,6.39,156,Moderate
23.58,69.33,8.85,0.61,8.28,6.93,85,Satisfactory
36.83,96.84,9.19,0.7,6.76,7.43,94,Satisfactory
31.97,73.55,8.84,0.66,7.8,7.32,74,Satisfactory
28.94,87.82,8.4,0.61,5.5,11.8,82,Satisfactory
47.34,109.02,7.75,0.65,6.26,10.72,101,Moderate
38.36,94.01,8.41,0.67,8.64,10.34,106,Moderate
25.91,67.56,8.44,0.69,6.48,8.18,69,Satisfactory
29.99,90.31,8.33,0.7,7.39,10.49,82,Satisfactory
28.77,88.13,7.76,0.68,6.21,8.66,94,Satisfactory
18.41,56.07,8.03,0.71,5.59,7.79,67,Satisfactory
25.56,69.8,8.16,0.86,5.43,9.76,61,Satisfactory
36.13,84.72,7.73,0.72,5.47,8.4,80,Satisfactory
32.01,57.41,7.65,0.59,7.43,5.76,70,Satisfactory
27.65,70.89,12.53,0.7,5.59,7.36,62,Satisfactory
28.76,82.4,17.58,0.74,3.45,9.65,77,Satisfactory
34.81,93.24,17.77,0.69,4.37,7.46,92,Satisfactory
30.17,101.82,16.82,0.75,2.36,9.71,90,Satisfactory
29.15,135.49,16.73,0.82,3.96,10.56,117,Moderate
30.99,129.56,17.06,0.85,4.91,9.02,118,Moderate
37.7,123.54,19.62,0.81,5.18,10.01,119,Moderate
47.29,170.2,18.45,0.81,4.53,5.57,131,Moderate
24.04,131.16,18.5,0.75,4.89,1.31,142,Moderate
27.56,99.6,18.53,0.7,7.13,6.47,97,Satisfactory
59.49,163.28,17.95,0.95,5.52,9.97,125,Moderate
75.94,197,17.15,0.83,8.82,4.83,159,Moderate
35.3,190.24,18.77,0.74,4.04,5.8,161,Moderate
37.93,165.9,17.69,0.8,6.34,6.43,154,Moderate
54.76,153.86,17.54,0.77,4.69,8.74,136,Moderate
52.81,197.08,17.3,0.85,6.09,12.89,137,Moderate
71.8,225.14,36.24,0.93,5.74,5.95,173,Moderate
44.09,221.27,16.17,0.79,11.1,24.39,202,Poor
54.21,243.06,15.66,0.82,6.17,14.87,189,Moderate
56.33,248.8,16.14,0.81,3.78,17.82,196,Moderate
76.9,253.99,15.82,0.9,3.37,14.15,198,Moderate
30.64,107.82,14.81,0.65,3.28,13.58,154,Moderate
39.43,136.27,15.28,0.72,5.12,18.05,108,Moderate
77.79,259.45,14.27,0.97,4.68,20.79,170,Moderate
69.26,275.85,12.45,0.98,4.39,23.75,225,Poor
53.55,253.61,9.49,0.88,5.6,23.17,216,Poor
78.12,255.33,8.96,0.86,4.96,30.83,199,Moderate
97.56,298.19,11.8,0.99,6.65,26.97,233,Poor
203.2,311.39,12.08,1.07,6.35,17.59,271,Poor
65.44,188.36,8.57,0.32,5.52,19.13,232,Poor
248.12,445.44,40.11,1.08,9.66,12.32,463,Severe
148.47,318.1,32.77,1.17,4.9,12.08,320,Very Poor
194.47,357.95,35.42,1.25,5.15,10.86,338,Very Poor
214.73,276.08,41.72,1.17,6.44,12.38,395,Very Poor
71.13,191.27,40.37,1.03,4.28,11.79,229,Poor
126.19,312.7,46.16,1.37,5.91,13.68,239,Poor
133.53,309.8,41.42,1.19,4.74,20.3,318,Very Poor
150.33,299.12,39.46,1.13,5.8,12.62,308,Very Poor
165.75,302.65,39.01,1.42,5.62,13.11,338,Very Poor
221.93,295.75,39.44,1.3,5.2,14.02,356,Very Poor
147.44,289.42,39.07,1.37,4.87,10.89,341,Very Poor
174.03,267.13,41.44,1.45,4.39,9.84,271,Poor
145.27,261.79,39.11,1.11,3.59,15.1,304,Very Poor
129.13,259.59,32.27,1.15,4.98,14.08,314,Very Poor
146.53,252.25,29.28,1.31,3.88,15.18,317,Very Poor
144.73,251.09,37.42,1.87,7.78,12.17,318,Very Poor
160.69,290.59,17.91,1.79,5.13,15.85,319,Very Poor
140.05,290.75,42.09,1.77,5.17,20.13,321,Very Poor
97.78,232.21,30.81,1.9,4.39,3.93,252,Poor
90.68,250.2,28.37,1.89,5.71,3.71,235,Poor
113,222.95,21.98,2.13,8.28,19.28,248,Poor
137.47,260.49,21.68,2,7.71,23.6,295,Poor
147.97,267.24,24.95,2.27,9.16,36.54,317,Very Poor
151.19,271.2,29.61,1.89,8.14,31.48,328,Very Poor
121.54,234.56,20.89,1.8,6,23.6,311,Very Poor
89.18,178.8,5.2,1.3,4.34,24.42,234,Poor
38.17,100.14,13.71,0.66,7.43,23.57,128,Moderate
78.81,182.69,41.92,1.05,18.04,25.52,131,Moderate
111.37,228.78,31.94,1.4,8.03,29.84,262,Poor
83,184.32,7.07,0.97,8.07,25.07,200,Moderate
106.43,224.99,12.22,1.05,5.24,21.02,206,Poor
144.45,295.86,31.96,1.38,11.93,29.91,314,Very Poor
128.92,264.88,46.82,1.17,9.23,33.66,307,Very Poor
143.36,276.23,47.59,1.87,11,32.23,318,Very Poor
110.68,237.22,48.8,1.74,9.61,51.68,288,Poor
141.64,270.82,49.18,2.31,14.29,54.87,302,Very Poor
143.81,268.1,50.9,2.44,11.24,21.83,322,Very Poor
137.81,263.37,50.56,2.5,9.17,24.79,316,Very Poor
137.05,266.39,45.09,2.52,10.52,60.42,313,Very Poor
129.76,268.24,41.77,2.65,15.28,52.76,306,Very Poor
146.1,283.99,30.53,3.08,6.11,44.48,317,Very Poor
146.1,265.34,33.22,2.91,6.23,27.76,323,Very Poor
147.77,270.1,35.25,2.47,6.53,26.29,324,Very Poor
119.12,232.05,23.9,1.96,8.67,30.52,296,Poor
130.16,239.25,14.57,2.31,6.87,19.05,309,Very Poor
108.22,214.5,7.36,1.48,4.54,18.64,266,Poor
92.93,189.34,3.08,1.39,3.69,18.47,227,Poor
106.08,215.78,49.15,2.41,10.52,24.02,185,Moderate
131.98,266.2,20.28,2.83,15.63,23.9,298,Poor
117.47,236.63,19.17,2.15,6.8,20.97,304,Very Poor
102.19,198.88,18.62,3.83,7.07,19.06,277,Poor
44.98,87.5,13.03,3.75,9.09,17.91,162,Moderate
53.43,87.57,10.07,2.82,4.37,19.16,127,Moderate
66.28,141.61,16.09,1.7,4.5,16.98,116,Moderate
58.41,124.48,16.29,0.86,6.69,17.61,126,Moderate
53.83,120.29,18.12,0.87,6.22,16.45,113,Moderate
58.65,129.08,19.43,0.7,4.64,15.89,114,Moderate
63.41,177.11,20.54,1.39,4.03,15.84,133,Moderate
43.93,121.78,21.39,1.74,3.97,16.82,142,Moderate
75.09,171.16,22.07,0.86,5.83,17.59,126,Moderate
108.76,221.19,23.33,1.2,6.1,22.4,230,Poor
87.22,198.96,42.63,0.96,12.91,24.44,227,Poor
56.46,126.01,25.53,1.53,2.98,24.89,143,Moderate
72.21,157.96,26.12,2.16,3.34,25.49,122,Moderate
96.33,186.31,28.36,1.71,3.36,21.55,197,Moderate
112.36,210.37,28.77,1.41,3.31,20.73,235,Poor
148.9,272.45,28.1,1.22,2.86,19.3,315,Very Poor
177.53,303.42,28.78,1.37,3.44,23.38,335,Very Poor
101.19,188.85,26.62,1.24,5.94,23.25,298,Poor
100.84,199.13,27.47,1.63,3.94,23.1,233,Poor
133.75,254.85,28.81,2,3.58,19.5,283,Poor
158.06,285.43,30.4,2.11,3.77,19.09,321,Very Poor
161.69,291.36,30.43,1.7,2.9,18.68,331,Very Poor
149.97,260.76,31.25,1.74,3.12,18.93,331,Very Poor
87.04,179.58,29.9,1.42,3.54,18.71,232,Poor
103.52,189.41,78.17,1.66,3.32,19.76,237,Poor
124.02,195.9,94.18,1.92,5.71,20.39,310,Very Poor
66.92,138.18,86.72,1.36,3.24,23.5,170,Moderate
77.72,158.17,79.22,1.44,10,23.22,152,Moderate
77.71,151.64,77.4,1.25,3.27,19.23,144,Moderate
73.58,146.1,78.11,1.2,5.07,19.1,165,Moderate
61.57,131.82,77.61,1.23,3.64,20.29,126,Moderate
70.31,154.81,76.93,1.24,3.89,21.19,129,Moderate
74.04,163.69,76.91,1.2,3.09,22.55,149,Moderate
58.91,131.93,77.1,1.1,2.76,19.82,125,Moderate
58.9,110.95,78.77,0.82,3.24,17.78,123,Moderate
26.86,59.87,78.52,0.68,3.05,18.36,115,Moderate
62.55,122.25,79.24,1.98,3.1,17.4,127,Moderate
57.51,120.69,79.01,1.26,2.5,17.71,118,Moderate
70.09,160.56,60.24,1.04,5.11,17.25,132,Moderate
53.67,114.13,34.3,0.92,4.04,13.69,124,Moderate
45.61,101.86,45.86,0.94,3.4,15.74,127,Moderate
61.12,131.87,47.57,0.92,3.52,13.38,142,Moderate
56.96,135.69,53.42,0.92,2.97,13.15,150,Moderate
44.39,114.54,54.79,0.94,3.48,13.89,159,Moderate
31.79,96.3,59.83,0.82,2.56,13.11,149,Moderate
55.78,138.44,65.5,0.77,2.79,14.2,168,Moderate
50.4,131.72,70.81,0.66,2.66,14,165,Moderate
58.71,147.2,57.73,0.64,3.22,17.08,152,Moderate
48.6,136.91,49.52,0.63,2.82,13.82,130,Moderate
59.76,157.27,42.42,0.64,4.03,16.12,130,Moderate
67.11,160.02,49.05,0.61,3.38,14.43,141,Moderate
69.65,162.02,49.28,0.64,7.24,18.68,138,Moderate
67.14,166.85,61.48,0.63,4.55,19.32,145,Moderate
58.38,177.22,48.94,0.59,5.85,12.41,147,Moderate
48.16,87.04,35.24,0.52,2.83,12.54,123,Moderate
16.26,52.61,28.35,0.44,2.75,12.28,66,Satisfactory
15.91,50.34,33.5,0.53,2.63,11.79,58,Satisfactory
31.96,94.51,33.41,0.59,2.68,12.86,77,Satisfactory
68.32,181.17,30.42,1.53,5.1,12.65,129,Moderate
41.54,135.18,9.04,0.76,2.93,16.54,137,Moderate
53.44,159.72,11.58,0.72,3.1,15.95,133,Moderate
52.41,166.21,13.27,0.71,3.54,16.97,139,Moderate
69.46,205.16,13.13,0.66,3.72,12.89,162,Moderate
54.32,166.52,9.71,0.67,4.71,17.76,154,Moderate
43.14,122.51,10.2,0.61,4.93,16.89,124,Moderate
52.39,143.82,13.52,0.61,4.66,17.32,123,Moderate
29.75,89.22,10.8,0.54,4.14,17.81,114,Moderate
58.6,153.78,9.93,0.55,4.14,18.36,119,Moderate
57.97,149.22,9.32,0.47,3.58,17.94,133,Moderate
46.84,128.01,9.46,0.56,3.83,16.46,132,Moderate
16.77,58.27,7.56,0.62,3.5,17.53,79,Satisfactory
25.72,77.3,8.99,0.65,3.55,17.96,73,Satisfactory
