PM2.5,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket
35.94,13.8,15.45,18.35,0.25,14.28,35.88,77,Satisfactory
52.2,4.51,15.98,12.65,0.12,5.18,28.71,89,Satisfactory
41.34,4.74,20.16,14.11,0.29,7.64,40.74,94,Satisfactory
35.8,5.48,20.18,16.1,1.06,3.49,33.92,86,Satisfactory
44.53,6.31,22.36,20.74,1.74,14.37,11.17,146,Moderate
56.36,8.52,21.73,17.57,0.48,13.82,24.98,90,Satisfactory
37.27,11.5,17.74,16.49,0.45,11.79,17.31,83,Satisfactory
35.62,12.15,18.88,18.07,0.58,10.98,9.19,77,Satisfactory
68.01,20.97,19.66,23.85,0.73,9.8,6.88,76,Satisfactory
193.3,21.68,24.61,26.48,0.77,22.85,26.01,277,Poor
226.74,26.58,26.9,27.96,0.96,25.11,45.95,431,Severe
57.62,8.35,19.36,14.79,0.54,8.8,38.81,213,Poor
30.2,7.94,22.86,14.83,0.57,7.05,43.89,72,Satisfactory
31.17,8.71,21.36,14.45,0.57,10.8,44.44,70,Satisfactory
58.59,8.95,25.92,16.93,0.64,10.73,65.06,114,Moderate
53.74,10.81,21.91,16.04,0.63,11.09,34.76,115,Moderate
36.65,13.86,18.11,16.63,0.8,11.24,24.77,100,Satisfactory
25.9,15.23,19.04,18.49,0.79,17.26,14.36,68,Satisfactory
31.32,11.38,20.74,16.51,0.76,6.78,19.74,70,Satisfactory
53.37,10.83,19.51,15.98,0.67,11.79,20.15,83,Satisfactory
62.08,9.13,21.3,14.75,0.66,11.68,29.74,113,Moderate
19.87,10.73,18.46,16.25,0.61,9.51,9.72,88,Satisfactory
41.87,8.64,21.69,14.16,1.2,11.69,21.9,75,Satisfactory
24.56,7.92,20.35,9.72,0.4,17.43,11.64,99,Satisfactory
27.99,7.82,18.51,10.8,0.59,14.51,24.43,70,Satisfactory
30.02,5.98,21.2,13.65,0.66,10.59,29.09,62,Satisfactory
27.1,11.77,23.88,18.14,0.83,6.35,21.16,66,Satisfactory
24.37,6.86,16.96,11.65,0.77,6.55,12.74,58,Satisfactory
29.63,10.33,20.49,15.71,1.04,11.84,12.67,68,Satisfactory
33.67,17.06,21.37,20.32,0.87,13.26,9.18,68,Satisfactory
37.64,9.17,18.77,14.1,0.83,13.02,22.1,74,Satisfactory
40.88,8.1,19.51,14.27,0.8,13.05,31.39,70,Satisfactory
68.58,7.23,24.71,15.3,0.9,10.05,24.35,103,Moderate
70.8,5.55,21.71,13.12,1.1,12.95,32.78,146,Moderate
81.94,5.54,18.9,11.81,0.79,16.59,32.86,163,Moderate
48.07,12.3,27.69,19.88,0.81,11.35,26.02,110,Moderate
30.57,13.15,25.74,19.35,0.85,8.2,16.2,91,Satisfactory
41.87,19.93,37.3,28.29,0.71,10.74,23.57,68,Satisfactory
45.77,24.27,38.77,31.03,1.11,12.58,25.78,96,Satisfactory
58.96,13.96,25.49,19.05,0.6,12.15,29.76,108,Moderate
24.73,9.5,23.56,18.68,1,13.45,19.58,82,Satisfactory
22.81,5.48,19.17,14.12,0.87,12.77,16.62,62,Satisfactory
22.57,8.23,19.09,14.46,0.86,11.02,11.44,69,Satisfactory
18.44,11.55,22.22,16.24,0.8,12.9,9.64,61,Satisfactory
41.9,10.58,23.9,18.52,0.74,12.47,26.93,64,Satisfactory
79.51,10.58,29.82,25.94,0.74,12.8,33.97,126,Moderate
75.6,11.82,27.44,26.61,0.73,15.48,27.26,158,Moderate
90.46,8.44,29.43,22.93,0.65,15.29,45.01,184,Moderate
57.36,6.32,20.3,15.45,0.65,11.31,29.54,136,Moderate
37.83,7.37,22.88,16.55,0.68,15.38,19.64,87,Satisfactory
42.05,6.88,24.99,16.62,0.76,19.09,25.07,71,Satisfactory
38.73,11.52,22.77,19.6,0.84,11.66,26.94,75,Satisfactory
29.62,8.12,18.18,14.21,0.58,8.83,17.88,69,Satisfactory
31.57,6.48,19.48,14.07,0.58,9.32,34.83,57,Satisfactory
50.43,8.33,22.98,16.1,0.54,11.23,42.02,71,Satisfactory
46.63,9.93,20.28,15.55,0.52,14.78,31.4,90,Satisfactory
43.1,8.57,20.66,16.56,0.57,20.97,26.7,86,Satisfactory
34.52,9.81,23.6,14.06,0.7,10.72,30.04,76,Satisfactory
38.1,9.12,24.27,15.27,0.67,14.01,40.77,70,Satisfactory
94.87,7.54,27.5,18.02,0.47,17.67,40.88,143,Moderate
73.06,8.84,30.39,21.07,0,14.6,47.78,175,Moderate
77.29,11.23,31.89,20.82,0,12.04,38.98,156,Moderate
79.19,14.24,25.72,18.97,0.15,9.89,45.45,163,Moderate
70.02,8.6,20.47,16.3,0.26,7.67,55,153,Moderate
59.77,15.54,23.37,20.09,0.31,6.1,28.49,126,Moderate
45.88,10.48,16.18,14.83,0.27,9.12,19.15,93,Satisfactory
46.3,16.43,18.6,18.59,0.23,13.19,15.41,81,Satisfactory
59.7,8.39,21.82,14.2,0.35,11.93,27.65,95,Satisfactory
53.21,8.19,26.4,18.54,0.17,7.92,52.58,107,Moderate
50.08,6.93,18.91,13.79,0.09,8.69,68.71,102,Moderate
47.66,7.49,21.38,15.45,0.22,8.65,66.46,97,Satisfactory
41.07,6.46,25.36,16.64,0.22,21.79,61.01,91,Satisfactory
45.39,7.25,27.36,18.2,0.22,11.48,35.3,78,Satisfactory
52.1,10.07,21.58,17.48,0.34,10.75,25.9,93,Satisfactory
62.7,13.71,23.85,21.68,0.24,13.33,24.92,109,Moderate
38.95,12.3,24.36,20.49,0.14,13.21,25.37,89,Satisfactory
51.21,10.43,23.99,19,0.24,15.53,25.72,83,Satisfactory
53.02,8.82,21.51,16.38,0.3,8.9,24.74,88,Satisfactory
79.72,14.75,25.27,23.35,0.29,14.59,37.33,113,Moderate
82.28,10.49,23.92,19.01,0.1,13.05,58.63,186,Moderate
64.49,18.2,28.09,27.14,0.09,11.39,38.43,148,Moderate
52.37,11.21,28.73,20.07,0.22,12.13,35.45,95,Satisfactory
53.72,15.88,20.64,21.65,0.28,8.92,19.64,108,Moderate
48.28,8.51,12.16,10.97,0.17,6.62,26.74,77,Satisfactory
51.16,8.39,13.63,11.72,0.03,6,28.82,89,Satisfactory
58.46,9.6,14.95,13.17,0,8.23,17.19,94,Satisfactory
56.26,10.67,17.75,15.62,0,12.77,26.41,105,Moderate
113.21,8.71,18.64,14.55,0,11.75,40.16,184,Moderate
76.77,8.96,17.43,14.05,0,16.44,31.36,176,Moderate
76.4,7.67,17.86,13.34,0,29.31,42.57,158,Moderate
62.12,8.91,15.6,13.8,0,17.55,50.15,136,Moderate
75.69,7.85,16.08,13.71,0,14.31,48.76,124,Moderate
55.3,8.66,14.02,11.96,0.39,20.33,50.51,121,Moderate
66.55,8.24,14.84,12.39,1.15,10.64,18.73,96,Satisfactory
79.23,8.95,18.07,14.8,0.94,11.52,26.63,179,Moderate
82.65,9.91,17.84,15.35,0.98,12.57,31.97,156,Moderate
164.37,17.04,20.65,20.98,1.23,19.38,20.49,258,Poor
76.62,11.78,14.82,14.32,0.93,20.61,28.71,207,Poor
68.45,9.11,11.26,10.79,0.89,13.78,40.6,147,Moderate
74.62,8.78,11,10.75,0.9,12.31,42.88,134,Moderate
71.04,11.58,16.94,15.27,0.83,26.45,33.83,161,Moderate
67.8,14.74,20.78,18.85,0.76,23.22,44.7,129,Moderate
70.06,12.12,20.38,17.57,0.64,29.85,52.91,164,Moderate
68.89,11.7,22.48,17.79,0.68,34.03,51.59,140,Moderate
85.98,11.64,20.48,16.88,0.6,33.72,57.39,180,Moderate
70.63,12.08,20.41,16.82,0.68,13.69,40.29,167,Moderate
80.58,13.66,19.77,18.15,0.62,9.92,38.16,149,Moderate
80.11,13.56,21.32,18.6,0.7,12.56,28.97,164,Moderate
84.31,14.15,21,18.91,0.9,9.64,37.25,187,Moderate
74.03,11.69,18.96,16.01,0.83,6.7,51.81,172,Moderate
79.6,11.77,19.89,16.59,0.89,7.26,40.58,161,Moderate
71.53,11.99,18.29,15.9,0.78,6.72,53.46,165,Moderate
73.21,12.29,18.74,16.29,0.82,8.17,56.87,155,Moderate
68.01,13.32,22.09,18.79,0.79,11.98,52.14,148,Moderate
72.05,15.19,23.76,21.61,0.86,17.29,49.48,159,Moderate
66.15,16.37,22.16,20.84,0.79,14.37,37.94,135,Moderate
78.68,14.88,19.5,18.15,0.95,8.5,45.96,167,Moderate
74.22,19.31,21.27,22.82,0.83,6.93,32.07,164,Moderate
37.64,14.04,17.68,16.68,0.75,5.65,40.93,123,Moderate
38.01,12.39,20.26,17.01,0.79,6.64,34.94,79,Satisfactory
44.18,11.72,23.45,18.16,0.95,8.16,20.1,94,Satisfactory
33.44,10.32,19.56,15.07,0.94,6.16,16.92,78,Satisfactory
34.52,10.76,20.56,15.81,1.05,6.61,20.76,78,Satisfactory
49.07,15.63,18.92,18.28,1.03,5.6,14.02,107,Moderate
50.86,12.89,20.61,17.07,0.97,6.64,29.6,113,Moderate
52.68,11.77,17.7,14.25,0.91,6.47,22.69,131,Moderate
46.07,9.24,16.23,12.66,0.85,5.97,28.55,88,Satisfactory
76.41,12.37,19.55,16.55,1,7.42,27.95,130,Moderate
55.38,11.08,22.9,17.53,1,7.06,40.05,138,Moderate
63.06,11.03,21.91,16.78,0.97,11.88,40.81,99,Satisfactory
57.82,9.31,16.26,12.52,0.85,9.95,38.51,119,Moderate
55.81,7.37,13.41,10.31,1.05,7.69,42.39,113,Moderate
70.43,10.66,15.41,13.46,0.79,8.49,47.51,133,Moderate
67.83,8.69,14.05,11.8,0.8,9.71,33.17,150,Moderate
63.29,7.8,15.79,12.05,0.74,9.94,35.85,118,Moderate
74.3,6.76,14.74,11,0.75,10.16,28.4,146,Moderate
59.12,9.14,14.41,12.53,0.73,10.97,26.36,118,Moderate
50.3,9.06,13.99,11.96,0.68,8.95,23.75,95,Satisfactory
48.95,6.97,12.06,9.91,0.75,9.72,23.03,88,Satisfactory
31.53,8.77,11.05,10.8,0.71,12.04,20.43,73,Satisfactory
48.05,11.45,12.98,13.45,0.75,12.92,24.98,76,Satisfactory
73.78,9.38,15.12,12.95,0.66,10.04,45.08,117,Moderate
95.58,11.08,15.61,14.34,0.66,9.39,32.1,182,Moderate
100.8,11.48,11.85,12.58,0.76,10.14,50.02,234,Poor
52.34,9.87,11.84,11.87,0.7,9.72,40.18,138,Moderate
49.83,7.44,12.93,10.47,0.76,10.37,50.51,115,Moderate
60.18,8.74,13.37,11.96,0.72,9.28,33.49,113,Moderate
43.63,8.23,10.82,10.3,0.69,7.71,24.97,93,Satisfactory
48.43,14,12.83,15.17,0.69,8.42,26.86,83,Satisfactory
68.14,10.69,16.63,14.02,0.86,5.79,33.84,113,Moderate
82.38,24.42,22.6,27.97,0.8,9.39,33.49,174,Moderate
61.5,10.82,16.09,14.85,0.84,7.73,39.55,126,Moderate
70.08,12.02,16.87,15.41,0.75,7.81,33.76,128,Moderate
59.66,8.1,15.41,12.02,0.75,12.98,45.47,128,Moderate
93.32,7.95,14.81,10.68,1.03,12.55,17.77,118,Moderate
30.74,8.06,12.19,10.34,1.02,7.09,18.79,153,Moderate
26.74,8.51,15.1,11.68,0.99,7.06,14.83,74,Satisfactory
30.99,10.02,17.35,14.92,0.95,7.31,13.35,69,Satisfactory
26.1,8.36,17.5,13.71,0.98,5.73,14.79,78,Satisfactory
37.93,10.02,21.89,16.28,1.09,8.57,19.13,81,Satisfactory
53.22,14.05,18.04,16.28,0.88,20.78,26.31,89,Satisfactory
50.29,12.84,18.55,17.53,0.99,10.23,24.22,88,Satisfactory
65.17,15.15,17.18,18.53,0.94,11.81,21.59,108,Moderate
56.5,10.89,19.74,16.58,1.18,9.22,21.6,115,Moderate
45.69,9.84,18.66,15.48,1.35,7.46,28.59,93,Satisfactory
56.79,7.37,17.43,12.52,0.98,3.84,32.94,94,Satisfactory
66.3,6.43,13.95,9.04,1.14,5.9,37.83,127,Moderate
51.92,8.23,11.45,7.91,1.11,3.54,25.78,117,Moderate
50.55,8.72,17.56,11.67,1.09,9.39,21.06,109,Moderate
51.77,9.44,19.36,13.31,1.07,7.14,12.2,109,Moderate
26.35,8.95,20.71,13.96,1.31,4.51,14.1,90,Satisfactory
22.93,6.89,21.13,12.43,0.91,5.95,20.3,70,Satisfactory
34.85,6.77,17.4,11.16,0.88,6.74,31.36,69,Satisfactory
39.89,9.23,17.85,12.92,0.82,6.34,52.63,75,Satisfactory
45.25,11.31,18.58,13.7,0.79,7.76,62.76,86,Satisfactory
29.45,9.46,21.64,13.43,0.74,6.52,46.55,67,Satisfactory
27.82,10.86,18.82,13.71,0.78,6.48,38.27,68,Satisfactory
36.15,11.83,22.47,16.57,0.97,5.81,55.15,71,Satisfactory
38.02,10.79,19.4,14.11,1.07,7.03,56.64,81,Satisfactory
38.53,12.02,23.13,17.25,0.91,6.96,46.24,103,Moderate
35.94,15.42,18.76,17.41,0.59,4.99,42.24,84,Satisfactory
24.52,19.95,16.5,19.85,0.58,11.9,46.15,62,Satisfactory
26,29.11,18.95,16.58,0.51,28.17,53.25,70,Satisfactory
36.7,16.07,15.68,16.73,0.78,30.67,23.9,66,Satisfactory
29.62,16.23,18.65,18.24,0.77,20.43,26.55,66,Satisfactory
26.52,13.48,17.92,15.81,0.85,6.2,20.72,61,Satisfactory
43.91,16.32,23.73,20.6,0.92,5.03,16.83,63,Satisfactory
22.23,14.1,20.28,17.46,0.86,4.51,23.02,61,Satisfactory
16.69,11.42,18.36,14.52,0.74,3.97,24.7,59,Satisfactory
21.91,12.67,20.35,16.4,0.9,4.74,23.77,61,Satisfactory
22.75,15.33,21.92,18.98,1.06,3.34,24.69,62,Satisfactory
41.36,14.92,21.77,18.74,0.87,3.88,24.28,56,Satisfactory
27.35,13.64,23.87,18.85,0.93,3.44,28.49,71,Satisfactory
36.7,12.44,23.67,17.82,0.82,4.3,31.08,65,Satisfactory
31.87,13.86,24.81,19.04,0.85,3.77,34.68,66,Satisfactory
31.22,10.76,20.92,15.3,0.8,3.78,32.97,55,Satisfactory
38.58,11.23,21.53,15.93,0.78,3.35,31.38,65,Satisfactory
51.52,15.66,23.98,20.6,0.85,4.11,27.93,76,Satisfactory
41.31,58.08,22.21,49.33,0.85,3.37,27.55,78,Satisfactory
44.01,38.85,26.2,39.58,0.81,5.12,29.81,89,Satisfactory
42.33,11.77,31.66,23.4,0.88,5.02,22.95,74,Satisfactory
29.34,12.69,33.17,24.85,0.82,4.86,15.65,62,Satisfactory
32.08,12.09,31.66,21.08,0.84,3.63,25.58,59,Satisfactory
42.57,12.94,40.82,24.69,0.8,3.97,29.47,68,Satisfactory
50.73,22.85,98.77,64.31,1.71,3.39,41.65,92,Satisfactory
62.94,19,70,47.54,0.91,5.4,57.07,112,Moderate
52.76,14.72,32.62,25.05,0.71,7.39,45.4,111,Moderate
76.95,38.8,73.31,77.57,0.77,4.36,40.29,127,Moderate
37.39,32.13,79.04,59.62,0.8,4.32,24.41,128,Moderate
39.42,19.12,39.13,32.55,0.73,5.11,30.79,77,Satisfactory
48.75,17.33,36.82,30.08,0.78,20.65,45.6,75,Satisfactory
22.47,20.71,39.54,33.89,0.74,9.24,23.39,77,Satisfactory
15.55,26.57,47,41.88,1.37,6.74,30.84,94,Satisfactory
22.62,15.24,30.4,25.82,0.93,7.95,23.49,80,Satisfactory
23.19,12.7,27.47,22.08,1.1,5.67,23.89,70,Satisfactory
20.7,13.16,25.94,21.65,1.18,6.1,17.65,74,Satisfactory
28.08,12.47,23.98,20.18,1.2,6.18,26.54,77,Satisfactory
25.14,12.41,24.3,20.3,1.15,6.23,34.08,71,Satisfactory
27.68,12.47,25.39,20.89,1.24,6.55,33.99,79,Satisfactory
27.85,12.09,25.05,20.45,1.27,6.31,17.05,81,Satisfactory
23.7,12.01,24.77,20.26,1.16,7.82,19.95,82,Satisfactory
48.5,11.75,25.61,20.47,0.86,5.65,44.79,70,Satisfactory
35.46,11.53,23.85,19.43,0.86,6.8,48.23,81,Satisfactory
35.53,11.39,22.6,18.7,0.85,7.94,26.21,66,Satisfactory
42.6,14.31,23.98,21.56,0.8,6.83,29.4,64,Satisfactory
52.89,19.02,32.72,29.83,0.81,6.22,43.92,82,Satisfactory
42.53,14.7,24.14,21.94,0.84,6.03,33.92,84,Satisfactory
40.25,13.85,24.44,20.48,0.78,6.28,33.21,73,Satisfactory
28.46,13.53,21.67,19.86,0.86,6.2,24.94,64,Satisfactory
38.2,12.09,20.58,18.25,0.88,6.46,38.06,65,Satisfactory
51.13,12.51,20.89,18.71,0.86,5.25,51.17,79,Satisfactory
47.54,11.02,19.46,16.9,0.82,5.48,43.95,77,Satisfactory
46.07,10.46,20.06,16.78,0.84,5.4,39.32,88,Satisfactory
44.17,10.59,20.48,17.08,0.84,6.2,43.58,82,Satisfactory
56.1,10.48,20.55,17.04,0.82,5.1,50.16,85,Satisfactory
57.69,12.76,23.83,20.3,0.81,4.68,43,98,Satisfactory
64.65,12.53,23.29,19.9,0.84,4.91,43.99,124,Moderate
50.69,11.43,22.96,18.9,0.85,6.62,47.96,98,Satisfactory
52.68,10.96,22.99,18.57,0.76,6.78,42.95,83,Satisfactory
42.26,10.19,22.66,17.84,0.77,6.24,34.07,86,Satisfactory
50.38,12.65,25.11,20.84,0.88,5.87,24.65,79,Satisfactory
34.9,10.59,22.5,18.07,0.83,5.12,27.19,66,Satisfactory
36.28,9.76,21.78,17,0.79,6.26,25.31,71,Satisfactory
41.3,9.17,20.74,16.14,0.82,5.8,32.32,67,Satisfactory
33.79,9.29,19.98,15.87,0.79,6.33,33.45,73,Satisfactory
41.09,11.21,23.47,18.97,0.74,5.87,23.99,73,Satisfactory
43.9,9.65,23.69,18.09,0.8,6.19,25.17,88,Satisfactory
45.77,14.28,32.22,25.56,0.85,5.75,26.51,88,Satisfactory
50.27,10.84,24.55,19.27,0.8,5.64,23.98,91,Satisfactory
66.88,8.69,21.03,15.94,0.82,5.95,31.37,97,Satisfactory
49.62,10.37,21.35,17.28,0.83,4.42,28.32,114,Moderate
59.7,13.14,23.76,20.48,0.78,4.97,32.73,86,Satisfactory
48.19,11.84,23.43,19.42,0.78,6.27,29.86,99,Satisfactory
52.41,8.25,20.36,15.28,0.81,6.21,25.66,90,Satisfactory
57.34,14.47,26.73,22.85,0.79,5.71,15.15,104,Moderate
60.06,8.04,20.06,14.97,0.8,5.9,25.05,107,Moderate
57.98,7.82,20.51,15.03,0.79,5.65,27.11,107,Moderate
61.21,9.42,21.55,16.64,0.79,4.85,31.31,102,Moderate
55.1,7.89,19.88,14.78,0.81,5.48,31.74,109,Moderate
61.59,7.9,21.68,15.69,0.8,6.06,27.59,101,Moderate
61.34,7.61,21.88,15.56,0.8,5.28,31.3,112,Moderate
76.53,7.73,20.83,15.13,0.81,5.84,25.83,133,Moderate
54.64,7.63,20.9,15.09,0.81,5.57,29.89,127,Moderate
57.46,7.87,21.91,15.77,0.81,5.21,30.33,98,Satisfactory
81.3,7.25,20.79,14.75,0.78,6.16,40.22,135,Moderate
68.11,7.1,19.07,13.8,0.79,5.51,35.33,150,Moderate
87.21,7.32,19.61,14.25,0.87,6.51,36.67,150,Moderate
54.36,7.04,18.16,13.28,0.88,5.53,25.71,159,Moderate
53.97,7.05,19.43,13.93,0.86,5.74,23.34,93,Satisfactory
55.84,9.19,21.43,16.19,0.84,5.91,18.21,97,Satisfactory
78.46,10.65,23.44,18.4,0.9,5.73,13.72,128,Moderate
54.32,15.47,24.81,22.4,0.84,4.83,16.05,135,Moderate
53.66,8.65,20.86,15.81,0.83,6.22,23.4,80,Satisfactory
62.38,6.89,19.03,13.61,0.78,5.42,19.44,106,Moderate
56.32,7.12,19.54,14.04,0.82,5.36,17.08,103,Moderate
49.15,6.95,19.78,14.02,0.77,6.56,13.87,97,Satisfactory
44.79,7.26,19.71,14.22,0.8,6.04,11.27,77,Satisfactory
45.82,11.07,23.06,18.65,0.77,5.81,13.4,84,Satisfactory
47.78,7.81,20.11,14.77,0.78,4.79,15.14,76,Satisfactory
50.76,7.11,19.19,13.9,0.78,5.74,15.06,92,Satisfactory
43,7.09,18.5,10.15,0.73,5.79,16.12,79,Satisfactory
37.08,8.88,21.86,12.63,0.85,7.06,20.24,66,Satisfactory
41.77,9.6,21.3,16.76,0.82,11.13,22.81,69,Satisfactory
47.86,9.46,20.18,16.09,0.81,7.33,16.08,79,Satisfactory
40.3,9.41,20.54,16.23,0.77,6.12,18.83,71,Satisfactory
46.01,9.51,20.42,16.28,0.79,6.79,18.61,70,Satisfactory
55.78,9.22,19.34,15.5,0.83,8.48,21.63,87,Satisfactory
50.08,9.39,19.84,15.87,0.74,6.89,18.07,101,Moderate
49.87,9.38,20.72,16.3,0.81,6.18,19.22,87,Satisfactory
35.67,9.47,20.48,16.25,0.81,8.34,14.35,68,Satisfactory
37.4,11.65,21.36,18.27,0.82,11.1,16.83,63,Satisfactory
41.69,10.76,24.76,19.2,0.85,5.64,17.6,63,Satisfactory
54.4,11.38,25.2,19.98,0.81,6.54,22.09,95,Satisfactory
54.77,10.78,22.76,18.32,0.86,9.83,24.44,97,Satisfactory
45.89,10.49,23.22,18.35,0.78,7.12,22,78,Satisfactory
51.13,10.23,25.1,19.1,0.82,6.08,17.29,93,Satisfactory
50.78,9.88,25.12,18.84,0.86,6.97,12.09,80,Satisfactory
39.82,10,26.54,19.69,0.94,6.19,21.72,91,Satisfactory
44.27,8.78,22.93,16.97,0.79,7.57,25.99,71,Satisfactory
52.36,9.3,22.68,17.22,0.8,5.68,20.97,79,Satisfactory
60.28,9.4,21.71,16.82,0.78,5.85,18.82,107,Moderate
60.81,9.93,22.73,17.71,0.83,5.49,17.12,123,Moderate
40.73,9.57,21.88,17.01,0.76,5.8,15.24,96,Satisfactory
26.05,9.17,21.79,16.69,0.74,5.96,18.57,57,Satisfactory
29.65,9.48,21.28,16.65,0.81,6.67,10.56,54,Satisfactory
45.66,10.05,24.69,18.78,0.8,6.22,13.72,63,Satisfactory
30.97,10.68,23.67,18.74,0.85,7.81,9.61,87,Satisfactory
26.95,9.82,20.63,16.6,0.79,4.28,9.08,60,Satisfactory
38.03,9.84,20.26,23.9,0.86,6.47,13.44,60,Satisfactory
35.44,10.57,17.3,27.87,0.8,6.16,10.41,71,Satisfactory
20.43,10.01,16.34,26.35,0.73,4.58,11,61,Satisfactory
26.01,9.68,15.11,24.79,0.78,10.58,16.84,53,Satisfactory
60.61,10.49,17.11,27.61,0.86,15.97,9.03,76,Satisfactory
55.4,9.64,18.69,28.32,0.85,14.94,10.1,126,Moderate
49.34,9.68,17.73,27.41,0.8,15.14,8.17,111,Moderate
69.17,10.28,18.76,29.04,0.83,14.29,9.05,152,Moderate
85.12,9.5,16.74,26.15,0.73,15.09,7.35,148,Moderate
52.23,9.25,16,25.25,0.83,14.35,7.55,161,Moderate
34.77,9.48,17.76,27.24,0.81,14.77,4.86,74,Satisfactory
40.39,10.19,16.66,26.86,0.83,11.98,4.89,71,Satisfactory
55.14,9.56,16.2,25.76,0.77,13.19,6,106,Moderate
32.83,9.18,16.09,25.26,0.8,14.06,8.98,81,Satisfactory
34.87,9.64,18.75,28.39,0.9,12.04,10.38,70,Satisfactory
29.44,10.57,17.38,27.95,0.67,12.49,18.68,62,Satisfactory
32.56,12.06,19.87,31.81,0.83,11.59,18.48,58,Satisfactory
50.7,10.67,16.49,27.15,0.82,10.61,19.46,89,Satisfactory
29.65,10.65,15.98,26.63,0.93,13.07,19.14,83,Satisfactory
38.58,11.66,19.22,30.79,0.84,12.61,24.39,65,Satisfactory
47.56,9.99,20.74,30.72,0.78,13.98,32.26,84,Satisfactory
42.77,9.72,15.68,25.39,0.97,14.76,44.5,83,Satisfactory
54.8,9.69,16.89,26.57,0.85,12.8,50.33,87,Satisfactory
47.98,9.59,16.8,26.39,0.72,9.42,44.4,111,Moderate
61.47,9.47,16.96,26.43,0.9,6.19,39.37,93,Satisfactory
48.17,10.31,16.34,26.31,0.99,8.08,32.63,108,Moderate
67.78,9.96,16.92,26.88,0.93,14.86,33.69,118,Moderate
30.81,9.27,15.16,24.42,0.85,7.37,43.7,115,Moderate
41.96,10.4,18.5,28.9,0.78,5.85,35.48,68,Satisfactory
40.59,10.09,16.37,26.44,0.85,5.71,33.64,79,Satisfactory
44.5,10.67,16.44,27.1,0.74,4.94,36.56,70,Satisfactory
45.96,9.82,15.41,25.22,0.81,5.26,43.52,86,Satisfactory
82.38,9.42,14.86,24.28,0.76,5.34,35.37,161,Moderate
42.08,9.91,16.23,26.14,0.8,6.92,41.45,112,Moderate
43.25,9.73,16.5,26.23,0.93,6.42,37.48,97,Satisfactory
30.77,14.5,19.66,34.16,1.1,10.04,29.89,96,Satisfactory
44.32,13.53,20,33.53,0.86,11.07,15.27,92,Satisfactory
24.98,14.67,19.13,33.81,0.89,7.27,13.27,80,Satisfactory
55.76,15.03,21.45,36.47,1.09,8.13,15.8,92,Satisfactory
49.28,10.95,18.84,29.79,0.83,6.23,22.41,109,Moderate
50.3,10.07,19.48,29.55,0.78,5.06,24.6,108,Moderate
50.51,9.81,14.26,24.07,0.67,5.8,20.67,89,Satisfactory
31.02,11.02,15.16,26.17,0.99,5.68,21.88,111,Moderate
43.43,11.18,16.56,27.74,0.99,6.98,17.92,107,Moderate
61.73,11.06,14.65,25.69,0.94,6.47,16.79,93,Satisfactory
28.2,10.21,13.68,23.88,0.74,5.66,14,111,Moderate
22.68,11.25,13.15,24.39,0.78,7.46,13.21,54,Satisfactory
71.65,11.08,13.36,24.44,0.66,6.62,11.13,58,Satisfactory
64.87,11.14,13.77,24.91,0.83,7.98,12.69,157,Moderate
32.53,11.97,12.48,24.44,1,7.23,14.15,82,Satisfactory
22.28,11.63,13.11,24.73,0.97,7.93,13.46,66,Satisfactory
17.89,10.88,12.81,23.68,0.78,7.96,12.78,63,Satisfactory
20.58,14.36,15.72,29.87,1.16,17.2,10.81,66,Satisfactory
23.68,17.31,18.38,35.69,1.05,27.34,14.23,75,Satisfactory
16.7,14.62,15.29,29.91,1.08,24.43,15.03,81,Satisfactory
34.54,12.76,13.8,26.55,0.72,9.43,19.43,65,Satisfactory
36.11,13.24,17.82,31,0.85,10.98,18.66,69,Satisfactory
61,12.17,17.82,29.99,1.09,9.66,23.62,96,Satisfactory
70.42,13.47,21.12,34.59,0.95,11.67,24.71,164,Moderate
53.49,10.88,19.25,30.12,0.88,7.72,35.36,147,Moderate
48.26,9.52,18.38,27.85,0.96,6.41,33.56,90,Satisfactory
39.7,9.2,13.52,22.7,0.88,6.21,30.89,82,Satisfactory
40.74,9.93,15.82,25.64,0.66,8.16,30.56,65,Satisfactory
40.91,9.23,12.85,22.08,0.88,7.04,29.96,70,Satisfactory
29.82,10.8,12.68,23.42,0.8,7.54,17.9,68,Satisfactory
33.85,12.34,15.63,27.86,1.06,8.69,16.26,77,Satisfactory
31.6,12.48,17.18,29.65,0.94,6.33,18.73,67,Satisfactory
39.65,13.75,19.41,33.15,1.1,11.52,25.74,91,Satisfactory
66.17,13.49,22.31,35.57,1.12,10.13,18.13,110,Moderate
65.55,10.73,16.62,26.02,0.89,6.7,19.48,124,Moderate
168.81,12.38,19.55,30.6,0.96,15.4,19.31,218,Poor
73.57,12.45,20.24,31.36,0.63,10.54,20.21,170,Moderate
76.77,13.08,19.44,31.19,0.75,9.99,15.61,160,Moderate
72.83,11.23,21.39,31.3,0.87,6.88,18.69,140,Moderate
72.24,10.48,19.89,28.88,2.03,8.35,25.47,144,Moderate
61.5,10.49,23.1,32.54,0.82,15.7,31.79,126,Moderate
59.79,9.19,20.55,29.44,0.97,10,50.28,115,Moderate
75.15,8.86,19.05,27.9,0.84,5.44,52.32,158,Moderate
34.51,9.26,17.96,27.21,0.8,7.44,21.44,98,Satisfactory
